"success","trial_type","trial_index","time_elapsed","internal_node_id","time_done","rt","response","stimulus","slider_start","question_order"
"true","fullscreen","0","1002","0.0-0.0","1649369101368","","","","",""
"","survey-html-form","1","4572","0.0-1.0","1649369101368","3569","{}","","",""
"","survey-html-form","2","5388","0.0-2.0","1649369101368","815","{}","","",""
"","survey-html-form","3","6036","0.0-3.0","1649369101368","647","{}","","",""
"true","fullscreen","4","7043","0.0-4.0","1649369101368","","","","",""
"","survey-html-form","5","10903","0.0-5.0","1649369101368","3858","{}","","",""
"","html-slider-response","6","17396","0.0-6.0","1649369101368","6489","40","<div style=""width:600px;""><p><strong>After each animation, you get two questions.<br>(1) Did you see a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</strong><br/><br/> Where you place the marker on the bar indicates both (i) <i>what</i> you see and (ii) <i>how confident</i> you feel about this. Few examples below: <br><img src=""expt_material/instructions/all.png"" width=""600""></p><p>Now try moving the cursor around on the bar.<br>Remember that you can use the <i>whole</i> bar.</p></div>","50",""
"","survey-multi-choice","7","20865","0.0-7.0","1649369101368","3465","{""Q0"":""<img src=""}","","","[0]"
"","survey-html-form","8","21600","0.0-8.0","1649369101368","729","{}","","",""
"","video-keyboard-response","9","27806","0.0-9.0","1649369101368","null","null","[""demo_animations/demosubt0.webm""]","",""
"","html-slider-response","10","30100","0.0-10.0","1649369101368","2292","44","<p>Please try to respond quickly, but as accurately as possible.</p><div style=""width:800px;""><p><strong>Was there a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</p></div>","50",""
"","survey-multi-choice","11","31792","0.0-11.0","1649369101368","1690","{""Q0"":""<img src=""}","","","[0]"
"","survey-html-form","12","32536","0.0-12.0","1649369101368","739","{}","","",""
"","video-keyboard-response","13","38739","0.0-13.0","1649369101368","null","null","[""main_animations/final_chase/chase__pred_subt0_Grey_Posx_350_1.webm""]","",""
"","html-slider-response","14","41109","0.0-14.0","1649369101368","2369","45","<p>Please try to respond quickly, but as accurately as possible.</p><div style=""width:800px;""><p><strong>Was there a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</p></div>","50",""
"","survey-multi-choice","15","42672","0.0-15.0","1649369101368","1561","{""Q0"":""<img src=""}","","","[0]"
"","survey-html-form","16","43967","0.0-16.0","1649369101368","1289","{""strategies"":""""}","","",""
"","survey-html-form","17","44354","0.0-17.0","1649369101368","386","{""feedback"":""""}","","",""
"","survey-multi-choice","18","45487","0.0-18.0","1649369101368","1132","{""gender"":"""",""hispanic"":""""}","","","[0,1]"
"","survey-multi-select","19","46226","0.0-19.0","1649369101368","735","{""race"":[]}","","","[0]"
"","survey-html-form","20","47132","0.0-20.0","1649369101368","901","{""age"":""""}","","",""
"","survey-html-form","21","47463","0.0-21.0","1649369101368","329","{""location"":""""}","","",""
"","html-keyboard-response","22","58476","0.0-22.0","1649369101368","11010"," ","Thank you for your participation!<br><strong> Press any key to submit your data (you are not done until you do and will not get paid) </strong>.<br> This will then take you back to the Prolific page.","",""
