"success","trial_type","trial_index","time_elapsed","internal_node_id","time_done","rt","response","stimulus","slider_start","question_order"
"true","fullscreen","0","1001","0.0-0.0","1649370066629","","","","",""
"","survey-html-form","1","3705","0.0-1.0","1649370066629","2702","{}","","",""
"","survey-html-form","2","4594","0.0-2.0","1649370066629","888","{}","","",""
"","survey-html-form","3","5257","0.0-3.0","1649370066629","663","{}","","",""
"true","fullscreen","4","6264","0.0-4.0","1649370066629","","","","",""
"","survey-html-form","5","8760","0.0-5.0","1649370066629","2492","{}","","",""
"","html-slider-response","6","11432","0.0-6.0","1649370066629","2669","28","<div style=""width:600px;""><p><strong>After each animation, you get two questions.<br>(1) Did you see a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</strong><br/><br/> Where you place the marker on the bar indicates both (i) <i>what</i> you see and (ii) <i>how confident</i> you feel about this. Few examples below: <br><img src=""expt_material/instructions/all.png"" width=""600""></p><p>Now try moving the cursor around on the bar.<br>Remember that you can use the <i>whole</i> bar.</p></div>","50",""
"","survey-multi-choice","7","13603","0.0-7.0","1649370066629","2170","{""Q0"":""<img id=""}","","","[0]"
"","survey-html-form","8","14355","0.0-8.0","1649370066629","746","{}","","",""
"","video-keyboard-response","9","20563","0.0-9.0","1649370066629","null","null","[""demo_animations/demomim0.webm""]","",""
"","html-slider-response","10","27458","0.0-10.0","1649370066629","6894","55","<p>Please try to respond quickly, but as accurately as possible.</p><div style=""width:800px;""><p><strong>Was there a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</p></div>","50",""
"","survey-multi-choice","11","29150","0.0-11.0","1649370066629","1690","{""Q0"":""<img src=""}","","","[0]"
"","survey-html-form","12","29927","0.0-12.0","1649370066629","772","{}","","",""
"","video-keyboard-response","13","36131","0.0-13.0","1649370066629","null","null","[""main_animations/final_chase/chase_pred_subt0_Grey_Posx_350.webm""]","",""
"","html-slider-response","14","37969","0.0-14.0","1649370066629","1835","46","<p>Please try to respond quickly, but as accurately as possible.</p><div style=""width:800px;""><p><strong>Was there a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</p></div>","50",""
"","survey-multi-choice","15","39669","0.0-15.0","1649370066629","1698","{""Q0"":""<img src=""}","","","[0]"
"","survey-html-form","16","41036","0.0-16.0","1649370066629","1362","{""strategies"":""""}","","",""
"","survey-html-form","17","41635","0.0-17.0","1649370066629","598","{""feedback"":""""}","","",""
"","survey-multi-choice","18","42717","0.0-18.0","1649370066629","1081","{""gender"":"""",""hispanic"":""""}","","","[0,1]"
"","survey-multi-select","19","43909","0.0-19.0","1649370066629","1188","{""race"":[]}","","","[0]"
"","survey-html-form","20","44953","0.0-20.0","1649370066629","1038","{""age"":""""}","","",""
"","survey-html-form","21","45379","0.0-21.0","1649370066629","421","{""location"":""""}","","",""
"","html-keyboard-response","22","47789","0.0-22.0","1649370066629","2405"," ","Thank you for your participation!<br><strong> Press any key to submit your data (you are not done until you do and will not get paid) </strong>.<br> This will then take you back to the Prolific page.","",""
