"success","trial_type","trial_index","time_elapsed","internal_node_id","time_done","rt","response","stimulus","slider_start","question_order"
"true","fullscreen","0","1004","0.0-0.0","1649770248141","","","","",""
"","survey-html-form","1","3452","0.0-1.0","1649770248141","2448","{}","","",""
"","survey-html-form","2","4681","0.0-2.0","1649770248141","1228","{}","","",""
"","survey-html-form","3","5330","0.0-3.0","1649770248141","647","{}","","",""
"true","fullscreen","4","6338","0.0-4.0","1649770248141","","","","",""
"","survey-html-form","5","9893","0.0-5.0","1649770248141","3551","{}","","",""
"","html-slider-response","6","12485","0.0-6.0","1649770248141","2588","40","<div style=""width:600px;""><p><strong>After each animation, you get two questions.<br>(1) Did you see a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</strong><br/><br/> Where you place the marker on the bar indicates both (i) <i>what</i> you see and (ii) <i>how confident</i> you feel about this. Few examples below: <br><img src=""expt_material/instructions/all.png"" width=""600""></p><p>Now try moving the cursor around on the bar.<br>Remember that you can use the <i>whole</i> bar.</p></div>","50",""
"","survey-multi-choice","7","13953","0.0-7.0","1649770248141","1466","{""Q0"":""(b) <img id=""}","","","[0]"
"","survey-html-form","8","14817","0.0-8.0","1649770248141","861","{}","","",""
"","video-keyboard-response","9","21022","0.0-9.0","1649770248141","null","null","[""demo_animations/demosubt0.webm""]","",""
"","html-slider-response","10","27363","0.0-10.0","1649770248141","6339","54","<p>Please try to respond quickly, but as accurately as possible.</p><div style=""width:800px;""><p><strong>Was there a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</p></div>","50",""
"","survey-multi-choice","11","28992","0.0-11.0","1649770248141","1627","{""Q0"":""(b) <img src=""}","","","[0]"
"","survey-html-form","12","29655","0.0-12.0","1649770248141","657","{}","","",""
"","video-keyboard-response","13","35861","0.0-13.0","1649770248141","null","null","[""main_animations/final_chase/chase__pred_subt0_Grey_Posx_350_1.webm""]","",""
"","html-slider-response","14","38461","0.0-14.0","1649770248141","2599","39","<p>Please try to respond quickly, but as accurately as possible.</p><div style=""width:800px;""><p><strong>Was there a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</p></div>","50",""
"","survey-multi-choice","15","39936","0.0-15.0","1649770248141","1472","{""Q0"":""(b) <img src=""}","","","[0]"
"","survey-html-form","16","41248","0.0-16.0","1649770248141","1306","{""strategies"":""""}","","",""
"","survey-html-form","17","41653","0.0-17.0","1649770248141","404","{""feedback"":""""}","","",""
"","survey-multi-choice","18","42934","0.0-18.0","1649770248141","1279","{""gender"":"""",""hispanic"":""""}","","","[0,1]"
"","survey-multi-select","19","43671","0.0-19.0","1649770248141","727","{""race"":[]}","","","[0]"
"","survey-html-form","20","44579","0.0-20.0","1649770248141","902","{""age"":""""}","","",""
"","survey-html-form","21","45064","0.0-21.0","1649770248141","483","{""location"":""""}","","",""
"","html-keyboard-response","22","47629","0.0-22.0","1649770248141","2562","n","Thank you for your participation!<br><strong> Press any key to submit your data (you are not done until you do and will not get paid) </strong>.<br> This will then take you back to the Prolific page.","",""
