"success","trial_type","trial_index","time_elapsed","internal_node_id","time_done","rt","response","stimulus","slider_start","question_order","slider","radiob","RT"
"true","fullscreen","0","1005","0.0-0.0","1649954040440","","","","","","","",""
"","survey-html-form","1","27408","0.0-1.0","1649954040440","26413","{}","","","","","",""
"","survey-html-form","2","28474","0.0-2.0","1649954040440","1065","{}","","","","","",""
"","survey-html-form","3","29805","0.0-3.0","1649954040440","1330","{}","","","","","",""
"true","fullscreen","4","30812","0.0-4.0","1649954040440","","","","","","","",""
"","survey-html-form","5","40915","0.0-5.0","1649954040440","10102","{}","","","","","",""
"","html-slider-response","6","45290","0.0-6.0","1649954040440","4373","37","<div style=""width:600px;""><p><strong>After each animation, you get two questions.<br>(1) Did you see a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</strong><br/><br/> Where you place the marker on the bar indicates both (i) <i>what</i> you see and (ii) <i>how confident</i> you feel about this. Few examples below: <br><img src=""expt_material/instructions/all.png"" width=""600""></p><p>Now try moving the cursor around on the bar.<br>Remember that you can use the <i>whole</i> bar.</p></div>","50","","","",""
"","survey-multi-choice","7","47055","0.0-7.0","1649954040440","1762","{""Q0"":""(b) <img id=""}","","","[0]","","",""
"","survey-html-form","8","47913","0.0-8.0","1649954040440","850","{}","","","","","",""
"","video-keyboard-response","9","54120","0.0-9.0","1649954040440","null","null","[""demo_animations/demosubt0.webm""]","","","","",""
"","survey-html-form-2qns","10","57224","0.0-10.0-0.0","1649954040440","","","","","","34","ID_black","3101"
"","survey-html-form-2qns","10","57224","0.0-10.0-0.0","1649954040440","","","","","","","",""
"","survey-html-form","11","58927","0.0-11.0","1649954040440","1701","{}","","","","","",""
"","video-keyboard-response","12","65129","0.0-12.0","1649954040440","null","null","[""main_animations/chase/webm/chase_pred_subt0_Grey_Posx_350.webm""]","","","","",""
"","survey-html-form-2qns","13","67761","0.0-13.0-0.0","1649954040440","","","","","","65","ID_grey","2326"
"","survey-html-form-2qns","13","67761","0.0-13.0-0.0","1649954040440","","","","","","","",""
"","survey-html-form","14","69838","0.0-14.0","1649954040440","2076","{""strategies"":""""}","","","","","",""
"","survey-html-form","15","70802","0.0-15.0","1649954040440","962","{""feedback"":""""}","","","","","",""
"","survey-multi-choice","16","75903","0.0-16.0","1649954040440","5100","{""gender"":"""",""hispanic"":""""}","","","[0,1]","","",""
"","survey-multi-select","17","77767","0.0-17.0","1649954040440","","","","","","","",""
"","survey-html-form","18","77768","0.0-18.0","1649954040440","","","","","","65","none",""
"","survey-html-form","18","80194","0.0-18.0","1649954040440","2426","{""age"":""""}","","","","","",""
"","survey-html-form","19","80697","0.0-19.0","1649954040440","494","{""location"":""""}","","","","","",""
"","html-keyboard-response","20","83662","0.0-20.0","1649954040440","2957"," ","Thank you for your participation!<br><strong> Press any key to submit your data (you are not done until you do and will not get paid) </strong>.<br> This will then take you back to the Prolific page.","","","","",""
