,Vid_nr,Subtlety,Color,StartPos,Motivator,Vid_names,Iter_nr,ID
0,0,0,Gr,L,Chase,chase_pred_subt0_Grey_Posx_350.webm,v0,0_Gr_L_Chase_v0
1,1,0,Gr,L,Chase,chase__pred_subt0_Grey_Posx_350_1.webm,v1,0_Gr_L_Chase_v1
2,2,0,Gr,R,Chase,chase_pred_subt0_Grey_Posx_850.webm,v0,0_Gr_R_Chase_v0
3,3,0,Gr,R,Chase,chase__pred_subt0_Grey_Posx_850_1.webm,v1,0_Gr_R_Chase_v1
4,4,0,Bl,L,Chase,chase_pred_subt0_Black_Posx_350.webm,v0,0_Bl_L_Chase_v0
5,5,0,Bl,L,Chase,chase__pred_subt0_Black_Posx_350_1.webm,v1,0_Bl_L_Chase_v1
6,6,0,Bl,R,Chase,chase_pred_subt0_Black_Posx_850.webm,v0,0_Bl_R_Chase_v0
7,7,0,Bl,R,Chase,chase__pred_subt0_Black_Posx_850_1.webm,v1,0_Bl_R_Chase_v1
8,8,30,Gr,L,Chase,chase_pred_subt30_Grey_Posx_350.webm,v0,30_Gr_L_Chase_v0
9,9,30,Gr,L,Chase,chase__pred_subt30_Grey_Posx_350_1.webm,v1,30_Gr_L_Chase_v1
10,10,30,Gr,R,Chase,chase_pred_subt30_Grey_Posx_850.webm,v0,30_Gr_R_Chase_v0
11,11,30,Gr,R,Chase,chase__pred_subt30_Grey_Posx_850_1.webm,v1,30_Gr_R_Chase_v1
12,12,30,Bl,L,Chase,chase_pred_subt30_Black_Posx_350.webm,v0,30_Bl_L_Chase_v0
13,13,30,Bl,L,Chase,chase__pred_subt30_Black_Posx_350_1.webm,v1,30_Bl_L_Chase_v1
14,14,30,Bl,R,Chase,chase_pred_subt30_Black_Posx_850.webm,v0,30_Bl_R_Chase_v0
15,15,30,Bl,R,Chase,chase__pred_subt30_Black_Posx_850_1.webm,v1,30_Bl_R_Chase_v1
16,16,60,Gr,L,Chase,chase_pred_subt60_Grey_Posx_350.webm,v0,60_Gr_L_Chase_v0
17,17,60,Gr,L,Chase,chase__pred_subt60_Grey_Posx_350_1.webm,v1,60_Gr_L_Chase_v1
18,18,60,Gr,R,Chase,chase_pred_subt60_Grey_Posx_850.webm,v0,60_Gr_R_Chase_v0
19,19,60,Gr,R,Chase,chase__pred_subt60_Grey_Posx_850_1.webm,v1,60_Gr_R_Chase_v1
20,20,60,Bl,L,Chase,chase_pred_subt60_Black_Posx_350.webm,v0,60_Bl_L_Chase_v0
21,21,60,Bl,L,Chase,chase__pred_subt60_Black_Posx_350_1.webm,v1,60_Bl_L_Chase_v1
22,22,60,Bl,R,Chase,chase_pred_subt60_Black_Posx_850.webm,v0,60_Bl_R_Chase_v0
23,23,60,Bl,R,Chase,chase__pred_subt60_Black_Posx_850_1.webm,v1,60_Bl_R_Chase_v1
24,24,90,Gr,L,Chase,chase_pred_subt90_Grey_Posx_350.webm,v0,90_Gr_L_Chase_v0
25,25,90,Gr,L,Chase,chase__pred_subt90_Grey_Posx_350_1.webm,v1,90_Gr_L_Chase_v1
26,26,90,Gr,R,Chase,chase_pred_subt90_Grey_Posx_850.webm,v0,90_Gr_R_Chase_v0
27,27,90,Gr,R,Chase,chase__pred_subt90_Grey_Posx_850_1.webm,v1,90_Gr_R_Chase_v1
28,28,90,Bl,L,Chase,chase_pred_subt90_Black_Posx_350.webm,v0,90_Bl_L_Chase_v0
29,29,90,Bl,L,Chase,chase__pred_subt90_Black_Posx_350_1.webm,v1,90_Bl_L_Chase_v1
30,30,90,Bl,R,Chase,chase_pred_subt90_Black_Posx_850.webm,v0,90_Bl_R_Chase_v0
31,31,90,Bl,R,Chase,chase__pred_subt90_Black_Posx_850_1.webm,v1,90_Bl_R_Chase_v1
32,32,120,Gr,L,Chase,chase_pred_subt120_Grey_Posx_350.webm,v0,120_Gr_L_Chase_v0
33,33,120,Gr,L,Chase,chase__pred_subt120_Grey_Posx_350_1.webm,v1,120_Gr_L_Chase_v1
34,34,120,Gr,R,Chase,chase_pred_subt120_Grey_Posx_850.webm,v0,120_Gr_R_Chase_v0
35,35,120,Gr,R,Chase,chase__pred_subt120_Grey_Posx_850_1.webm,v1,120_Gr_R_Chase_v1
36,36,120,Bl,L,Chase,chase_pred_subt120_Black_Posx_350.webm,v0,120_Bl_L_Chase_v0
37,37,120,Bl,L,Chase,chase__pred_subt120_Black_Posx_350_1.webm,v1,120_Bl_L_Chase_v1
38,38,120,Bl,R,Chase,chase_pred_subt120_Black_Posx_850.webm,v0,120_Bl_R_Chase_v0
39,39,120,Bl,R,Chase,chase__pred_subt120_Black_Posx_850_1.webm,v1,120_Bl_R_Chase_v1
40,40,150,Gr,L,Chase,chase_pred_subt150_Grey_Posx_350.webm,v0,150_Gr_L_Chase_v0
